movie_ID,actors
tt0195063,Júlio César Cruz
tt0195063,Aurélio Teixeira
tt0195063,Henrique José Leal
tt0195063,Leilane Chediak
tt0195063,Júlio Hofacker
tt0195063,Janet Chermont
tt0195063,Iva West
tt0195063,Elisa Fernandes
tt0195063,Catulo De Paula
tt0195063,Jorge Luiz Trannin
tt0195063,Vitório Veríssimo
tt0195063,Maria Gladys
tt0195063,Rubens Abreu
tt0195063,Maria Helena Lott
tt0122329,Isabel Sarli
tt0122329,Bentinho
tt0122329,Armando Bo
tt0122329,Egídio Eccio
tt0122329,Heitor Gaiotti
tt0122329,Miguel A. Olmos
tt0062690,José Mojica Marins
tt0062690,Ângelo Assunção
tt0062690,Ronaldo Beibe
tt0062690,Andreia Bryan
tt0062690,João Callegaro
tt0062690,Ozualdo Ribeiro Candeias
tt0062690,Maurice Capovilla
tt0062690,José Carlos
tt0062690,Maria Cristina
tt0062690,Emília Duarte
tt0062690,Jaciara Ducena
tt0062690,Jairo Ferreira
tt0062690,Jandira Gabriel
tt0062690,Graveto
tt0062690,Wanderley Grilo
tt0062690,Sérgio Hingst
tt0062690,Mário Lima
tt0062690,Annik Malvil
tt0062690,Márcio Marcel
tt0062690,Stela Maris
tt0062690,Cláudio Marques
tt0062690,Dante Miná
tt0062690,Paulo Morandy
tt0062690,Ítala Nandi
tt0062690,Helena Nogueira
tt0062690,Palito
tt0062690,Walter Portela
tt0062690,Carlos Reichenbach
tt0062690,Luiz Renato
tt0062690,Lurdes Ribas
tt0062690,Araken Saldanha
tt0062690,Rosemeire Thiago
tt0062690,Roney Wanderley
tt0064863,Tarcísio Meira
tt0064863,Rossana Ghessa
tt0064863,Jece Valadão
tt0064863,Sérgio Hingst
tt0064863,Guy Loup
tt0064863,Luiz Alberto Meireles
tt0064863,Elizângela
tt0064863,Anita Esbano
tt0064863,Simplício
tt0064863,Ravina
tt0064863,Mauricio Gracco
tt0064863,Jorge Karan
tt0064863,Regina Duarte
tt0064863,Nhô Juca
tt0064863,Reginaldo Vieira
tt0064863,Pedro Ferreira
tt0064863,Alcindo Rodrigues de Moraes
tt0064863,Dullio Scalise
tt0064863,Ivo Silveira
tt0064863,Francisco Ferreira
tt0064863,José Ricciardi
tt0064863,Carlinhos Cabral
tt0064863,Geraldo Vandré
tt0064863,Hilton Acioly
tt0064863,Marconi Campos
tt0064863,Bering de Campos Leiros
tt0064582,Rada Rassimov
tt0064582,Giulio Brogi
tt0064582,Gabriele Tinti
tt0064582,Jean-Pierre Léaud
tt0064582,Aldo Bixio
tt0064582,Baiack
tt0064582,Reinhard Kolldehoff
tt0064582,Hugo Carvana
tt0064582,Segolo Dia Manungu
tt0064582,Miguel
tt0064582,Pascal N'Zonzi
tt0064582,Rosa Maria Penna
tt0064582,Andre Segolo
tt0189887,Geneviève Grad
tt0189887,Luc Merenda
tt0189887,Rossana Ghessa
tt0189887,Adriana Prieto
tt0189887,Norma Bengell
tt0189887,Elza Besti
tt0189887,Zózimo Bulbul
tt0189887,Pierre Celler
tt0189887,Elza De Castro
tt0189887,Joana Fomm
tt0189887,Pedro Paulo Hatheyer
tt0189887,John Herbert
tt0189887,Sérgio Hingst
tt0189887,Hugo Land
tt0189887,Mário Maizzo
tt0189887,Miriam Mayo
tt0189887,Célia Padilha
tt0189887,Rosa Padilha
tt0189887,Alberto Ruschel
tt0189887,Bibiana Torino
tt0260354,Helena Ignez
tt0260354,Jorge Loredo
tt0260354,Maria Gladys
tt0260354,Luiz Gonzaga
tt0260354,Moreira da Silva
tt0260354,Aparecida
tt0260354,Neville de Almeida
tt0260354,Lelé
tt0260354,Guará Rodrigues
tt0065631,Norma Bengell
tt0065631,Othon Bastos
tt0065631,Ítala Nandi
tt0065631,Nelson Xavier
tt0065631,Ruy Polanah
tt0065631,Jorge Chaia
tt0065631,Freddy Kleemann
tt0065631,Mara Rúbia
tt0065631,Milton Nascimento
tt0065631,Vera Bocayuva
tt0065631,Aulo Carvalho
tt0065631,Monsueto
tt0065631,Gilberto Sabóia
tt0065631,Vinícius Salvatori
tt0065631,Dina Sfat
tt0065631,Roberto Tavares
tt0259944,Helena Ignez
tt0259944,Paulo Villaça
tt0259944,Guará Rodrigues
tt0259944,Otoniel Serra
tt0259944,Joãozinho da Goméia
tt0259944,Laura Galano
tt0259944,Lilian Lemmertz
tt0196746,Cláudio Cavalcanti
tt0196746,Rossana Ghessa
tt0196746,Jece Valadão
tt0196746,Fábio Sabag
tt0196746,Afonso Stuart
tt0196746,Milton Carneiro
tt0196746,Neuza Amaral
tt0196746,Mara Carvalho Ferro
tt0196746,Almir Look
tt0196746,Roberto Argolo
tt0196746,Leda Valle
tt0196746,Angelito Mello
tt0196746,Joseph Guerreiro
tt0196746,Paulo Serrano
tt0196746,Fernando José
tt0196746,Watusi
tt0196746,Estelita Bell
tt0196746,Larry Carr
tt0196746,Antônio do Cabo
tt0196746,Elza Gomes
tt0196746,Lia Maria
tt0196746,Antonio Patiño
tt0196746,Vera Regina
tt0196746,Antônio Teixeira
tt0196746,Joaquim Teodoro
tt0196746,Sérgio Vanick
tt0261761,Zé Trindade
tt0261761,Costinha
tt0261761,Colé Santana
tt0261761,Sonia Mamede
tt0261761,Rodolfo Arena
tt0261761,Luely Figueiró
tt0261761,Lajar Muzuris
tt0261761,Antonio Carnera
tt0261761,Tony Júnior
tt0261761,Dina
tt0261761,Lameri Faria
tt0261761,Geraldo Gonzaga
tt0261761,Priori Lemos
tt0261761,Tuffy
tt0184215,Eva Christian
tt0184215,Geraldo Del Rey
tt0184215,Luiz Fernando Ianelli
tt0184215,Fregolente
tt0184215,Renato Coutinho
tt0184215,Rubens de Falco
tt0184215,Pedro Pimenta
tt0184215,Clementino Kelé
tt0184215,Nildo Parente
tt0184215,Jotta Barroso
tt0184215,Fernando de Almeida
tt0184215,Ary Coslov
tt0184215,Magalhães Graça
tt0184215,Suzy Arruda
tt0184215,Rosa Sandrini
tt0184215,Paulo Nolasco
tt0184215,Ivan Setta
tt0184215,Célio de Barros
tt0184215,Fernando Ferrara
tt0184215,Márcia Tânia
tt0184215,Nelson Camargo
tt0184215,Anibal Marotta
tt0184215,Fredy Nabhan
tt0159294,Taiguara
tt0159294,Tânia Scher
tt0159294,Suzy Arruda
tt0159294,Fregolente
tt0159294,Emiliano Queiroz
tt0159294,Wilson Grey
tt0159294,José Lewgoy
tt0159294,Maria Pompeu
tt0159294,Henriqueta Brieba
tt0159294,Milton Vilar
tt0159294,André José Adler
tt0159294,Jorge Adler
tt0159294,Laura Galano
tt0159294,José Tavares
tt0200942,Antônio Marcos
tt0200942,Lúcia Alves
tt0200942,Ivan Bittencourt
tt0200942,Milton Carneiro
tt0200942,Flávio Migliaccio
tt0200942,Jorge Dória
tt0200942,Maria Pompeu
tt0200942,Afonso Stuart
tt0200942,Zeni Pereira
tt0200942,Gisela Burghart
tt0200942,Francisco Dantas
tt0200942,Ângelo Antônio
tt0200942,Ivan Setta
tt0200942,Martinho da Vila
tt0200942,Danton Jardim
tt0200942,Laura Galano
tt0200942,Carvalhinho
tt0200942,Fernando José
tt0200942,Ginaldo de Souza
tt0200942,Roberto Soares
tt0200942,Alberto Prado
tt0200942,Carlos Rodolfo
tt0200942,Sérgio Leandro
tt0200942,Rosamaria Rocha
tt0200942,Déa Peçanha
tt0200942,Carlos Marcos
tt0200942,Jorge Thomas
tt0200942,Ana Campista
tt0200942,Chacrinha
tt0200942,Débora Duarte
tt0200942,Gilvan Pereira
tt0240374,Luis Gustavo
tt0240374,Plínio Marcos
tt0240374,Cleyde Yáconis
tt0240374,Paulo Villaça
tt0240374,Marilda Pedroso
tt0240374,Terry Della Stuffa
tt0240374,Ana Paula Giaquito
tt0240374,Dora Azevedo Marques
tt0240374,Milton Medina
tt0240374,Alvaro Souza Barros
tt0240374,Rogério D'Elia
tt0240374,Otelo Zeloni
tt0240374,Lélia Abramo
tt0240374,Machadinho
tt0240374,Edgard
tt0240374,Raul Cortez
tt0240374,Walmor Chagas
tt0240374,Clodovil
tt0240374,Marilu Martinelli
tt0240374,Márcia Mendes
tt0240374,Carmen Monegal
tt0240374,Ana Lúcia Bastos Santos
tt0181949,Maria Gladys
tt0181949,Wilson Grey
tt0181949,Helena Ignez
tt0181949,Grande Otelo
tt0181949,Poty
tt0181949,Guará Rodrigues
tt0181949,Kleber Santos
tt0236165,Flávio Migliaccio
tt0236165,Leila Diniz
tt0236165,Irene Stefânia
tt0236165,Marília Pêra
tt0236165,Márcia Rodrigues
tt0236165,Grande Otelo
tt0236165,Marisa Urban
tt0236165,Maria Gladys
tt0236165,Fregolente
tt0236165,Mara Rúbia
