movie_ID,directed_by
tt0195063,Aurélio Teixeira
tt0122329,Armando Bo
tt0062690,José Mojica Marins
tt0064863,Anselmo Duarte
tt0064582,Glauber Rocha
tt0189887,Walter Hugo Khouri
tt0260354,Rogério Sganzerla
tt0065631,Ruy Guerra
tt0259944,Rogério Sganzerla
tt0196746,Alberto Pieralisi
tt0261761,Mozael Silveira
tt0184215,Carlos Hugo Christensen
tt0159294,Wilson Silva
tt0200942,J.B. Tanko
tt0240374,Olivier Perroy
tt0181949,Júlio Bressane
tt0236165,Stefan Wohl
tt0065430,Nelson Pereira dos Santos
tt0191384,Pereira Dias
tt0239306,Roberto Freire
tt0314817,Odilon Lopez
tt0189762,Glauco Mirko Laurelli
tt0159805,Flávio Tambellini
tt0144890,Jose Roberto Noronha
tt0182024,Júlio Bressane
tt0181973,Júlio Bressane
tt0122235,Adhemar Gonzaga
tt0186448,Arnaldo Jabor
tt0201775,Armando Costa
tt0201775,Zelito Viana
tt0184884,Carlos Coimbra
tt0197427,Roberto Pires
tt0145483,Isnard Fernandes
tt0145483,Rui Gomes
tt0181551,Astolfo Araujo
tt0178481,João Batista de Andrade
tt0287616,João Silvério Trevisan
tt0182734,Fernando De Barros
tt0065831,Ozualdo Ribeiro Candeias
tt0195206,Fernando Amaral
tt0195206,Silvio Autuori
tt0195206,Sérgio Ricardo
tt0195206,Stefan Wohl
tt0187268,Victor di Mello
tt0201078,Paulo Thiago
tt0193662,Xavier de Oliveira
tt0139374,Fauzi Mansur
tt0197257,Antônio Lima
tt0197257,Carlos Reichenbach
tt0182081,Pedro Camargo
tt0329353,Ary Fernandes
tt0236020,Geraldo Affonso Miranda
tt0236020,Pio Zamuner
tt0270865,Carlos Niemeyer
tt0188131,Miguel Faria Jr.
tt0241937,Oswaldo de Oliveira
tt0196826,Francis Palmeira
tt0198360,Paulo César Saraceni
tt0066936,Nelson Pereira dos Santos
tt0187358,Maurice Capovilla
tt0067099,José Mojica Marins
tt0201573,Zelito Viana
tt0201450,Andrea Tonacci
tt0066747,Flávio Migliaccio
tt0240607,Konstantin Tkaczenko
tt0201156,Aurélio Teixeira
tt0181307,Miguel Borges
tt0190549,Neville de Almeida
tt0183427,Fernando De Barros
tt0183427,Pedro Carlos Rovai
tt0191605,Fauzi Mansur
tt0185975,Antônio Calmon
tt0187434,Victor di Mello
tt0261225,Gianni Barcelloni
tt0261225,Joel Barcellos
tt0261225,Glauber Rocha
tt0247313,Paulo Porto
tt0264611,Eduardo Coutinho
tt0196334,Xavier de Oliveira
tt0256467,Edward Freund
tt0067210,Raffaele Rossi
tt0125035,W. Lee Wilder
tt0260507,José Regattieri
tt0200943,Alfredo Sternheim
tt0200446,Alberto Salvá
tt0182314,Júlio Bressane
tt0067362,David Neves
tt0261162,Vladimir Carvalho
tt0071144,Roberto Santos
tt0184225,Braz Chediak
tt0271161,Rubens da Silva Prado
