movie_ID,movie_title
tt0195063,Meu Pé de Laranja Lima
tt0122329,Éxtasis tropical
tt0062690,O Ritual dos Sádicos
tt0064863,Quelé do Pajeú
tt0064582,O Leão de Sete Cabeças
tt0189887,O Palácio dos Anjos
tt0260354,"Sem Essa, Aranha"
tt0065631,Os Deuses e os Mortos
tt0259944,Copacabana Mon Amour
tt0196746,Memórias de um Gigolô
tt0261761,"Jesus Cristo, Eu Estou Aqui"
tt0184215,Anjos e Demônios
tt0159294,O Bolão
tt0200942,Pais Quadrados... Filhos Avançados
tt0240374,Beto Rockfeller
tt0181949,A Família do Barulho
tt0236165,O Donzelo
tt0065430,Azyllo Muito Louco
tt0191384,"Pára, Pedro!"
tt0239306,Cleo e Daniel
tt0314817,"Um é Pouco, Dois é Bom"
tt0189762,A Moreninha
tt0159805,"Um Uísque Antes, Um Cigarro Depois"
tt0144890,Elas
tt0182024,"Cuidado, Madame"
tt0181973,"Barão Olavo, o Horrível"
tt0122235,Salário Mínimo
tt0186448,Pindorama
tt0201775,Minha Namorada
tt0184884,Se Meu Dólar Falasse
tt0197427,Em Busca do Su$exo
tt0145483,Sou Louca por Você
tt0181551,As Gatinhas
tt0178481,"Gamal, O Delírio do Sexo"
tt0287616,Orgia ou O Homem Que Deu Cria
tt0182734,A Arte de Amar Bem
tt0065831,A Herança
tt0195206,Quatro Contra o Mundo
tt0187268,Os maridos Traem... E as Mulheres Subtraem
tt0201078,Os Senhores da Terra
tt0193662,Marcelo Zona Sul
tt0139374,A Ilha dos Paqueras
tt0197257,Audácia
tt0182081,Estranho triângulo
tt0329353,Marcado Para o Perigo
tt0236020,Betão Ronca Ferro
tt0270865,Brasil Bom de Bola
tt0188131,Pecado Mortal
tt0241937,Sertão em Festa
tt0196826,Parafernália o Dia de Caça
tt0198360,A Casa Assassinada
tt0066936,Como Era Gostoso o Meu Francês
tt0187358,Noites de Iemanjá
tt0067099,Finis Hominis - O Fim do Homem
tt0201573,O Doce Esporte do Sexo
tt0201450,Bang Bang
tt0066747,Aventuras com Tio Maneco
tt0240607,Idílio Proibido
tt0201156,Soninha Toda Pura
tt0181307,O Barão Otelo no Barato dos Bilhões
tt0190549,Mangue Bangue
tt0183427,Lua-de-Mel e Amendoim
tt0191605,Uma Verdadeira História de Amor
